postal_code,attendance,lat,lon
T2T4E6,122,51.034101,-114.099425
T3G1M2,122,51.119235,-114.171717
T3H5P3,121,51.06741,-114.200745
T3K1G6,121,51.129276,-114.079549
T2M2L2,120,51.07784093,-114.0740972
T2L1K5,120,51.09150934,-114.1290526
T2E4J2,120,51.054783,-114.041692
T3A3S6,120,51.121645,-114.13973
T3H4X9,120,51.026715,-114.189271
T2N0P7,120,51.0560145,-114.121531
T2N1N4,118,51.074892,-114.129012
T3G1Z1,118,51.129087,-114.191601
T2G1E1,118,51.040446,-114.056344
T2Z4V2,117,50.913596,-113.942453
T2Z2N9,117,50.905818,-113.99389
T2L1J6,117,51.087566,-114.126355
T2A3B2,116,51.047461,-113.972194
T3B4K9,116,51.106645,-114.202343
T2E1Y3,116,51.075156,-114.055828
T2G5K4,115,51.0410311,-114.023799
T3H5S9,114,51.020272,-114.222677
T2Z3T3,114,50.957301,-114.016438
T2K2L6,114,51.093564,-114.09013
T3G4G4,114,51.144414,-114.178114
T2T6K7,114,51.0198285,-114.111008
T2G0M8,114,51.041969,-114.033416
T3G4B8,113,51.143708,-114.172893
T3K5N5,113,51.153731,-114.077161
T2X3E5,113,50.895977,-114.045703
T2G3S7,112,51.03986654,-114.0225753
T3G4Y6,112,51.147731,-114.226628
T3H1G8,112,51.051213,-114.17379
T2Y3T6,112,50.895337,-114.101877
T2E6C6,112,51.0632485,-114.0081835
T2Z3B5,111,50.93334,-113.984533
T2E5H4,111,51.063197,-114.044638
T3H0B5,111,51.033656,-114.218907
T2E1T7,110,51.072439,-114.05439
T3E3G9,110,51.026833,-114.143981
T2S2M2,110,51.026291,-114.08019
T3E6P8,109,51.026842,-114.158146
T2B2G7,108,51.019569,-113.99294
T2E4G7,108,51.053352,-114.043011
T2W3S8,108,50.941632,-114.086099
T2J5B8,108,50.914988,-114.022034
T2B2V3,108,51.024732,-113.968278
T3C2H5,108,51.040182,-114.10406
T2J5G4,108,50.9368093,-114.0168958
T3C1T3,107,51.04498255,-114.1427475
T3H5W3,107,51.06863,-114.219056
T2Z3M6,106,50.95009,-114.004909
T3K4H5,105,51.143874,-114.06474
T2E5J7,105,51.061261,-114.047001
T3K3G4,105,51.136591,-114.112929
T2W2V9,105,50.955514,-114.110232
T2X3L6,104,50.88914,-114.032503
T3E6A9,104,50.996471,-114.127959
T2T3E6,104,51.036465,-114.085689
